Modelo Negociador;Modelo Auditor;CPF;Aderente a política;Ajuste auditor;Coesao textual
gemini-3.5-flash-lite;gemini-3.5-flash-lite;59126335000;S;N;S
gemini-3.5-flash-lite;gemini-3.5-flash-lite;59126335000;S;N;S
gemini-3.5-flash-lite;gemini-3.5-flash-lite;59126335000;S;N;S
gemini-3.5-flash-lite;gemini-3.5-flash-lite;59126335000;S;S;S
gemini-3.5-flash-lite;gemini-3.5-flash-lite;59126335000;S;S;S
gemini-3.5-flash-lite;gemini-3.5-flash-lite;59126335000;S;N;S
gemini-3.5-flash-lite;gemini-3.5-flash-lite;70388578009;S;N;S
gemini-3.5-flash-lite;gemini-3.5-flash-lite;70388578009;S;N;S
gemini-3.5-flash-lite;gemini-3.5-flash-lite;70388578009;S;S;S
gemini-3.5-flash-lite;gemini-3.5-flash-lite;70388578009;S;N;S
gemini-3.5-flash-lite;gemini-3.5-flash-lite;70388578009;S;N;S
gemini-3.5-flash-lite;gemini-3.5-flash-lite;70388578009;S;N;S
gemini-3.5-flash-lite;gemini-3.5-flash-lite;42014252076;S;S;S
gemini-3.5-flash-lite;gemini-3.5-flash-lite;42014252076;S;N;S
gemini-3.5-flash-lite;gemini-3.5-flash-lite;40591273020;S;N;S
gemini-3.5-flash-lite;gemini-3.5-flash-lite;40591273020;S;S;S
gemini-3.5-flash-lite;gemini-3.5-flash-lite;66710722058;S;N;S
gemini-3.5-flash-lite;gemini-3.5-flash-lite;66710722058;S;N;S
gemini-3.5-flash-lite;gemini-3.5-flash-lite;22526801052;S;S;S
gemini-3.5-flash-lite;gemini-3.5-flash-lite;22526801052;S;N;S
gemini-3.5-flash;gemini-3.5-flash;59126335000;S;N;S
gemini-3.5-flash;gemini-3.5-flash;59126335000;S;S;S
gemini-3.5-flash;gemini-3.5-flash;59126335000;S;N;S
gemini-3.5-flash;gemini-3.5-flash;59126335000;S;N;S
gemini-3.5-flash;gemini-3.5-flash;59126335000;S;S;S
gemini-3.5-flash;gemini-3.5-flash;59126335000;S;N;S
gemini-3.5-flash;gemini-3.5-flash;59126335000;S;S;S
gemini-3.5-flash;gemini-3.5-flash;59126335000;S;N;S
gemini-3.5-flash;gemini-3.5-flash;59126335000;S;N;S
gemini-3.5-flash;gemini-3.5-flash;59126335000;S;N;S
gemini-3.5-flash;gemini-3.5-flash;70388578009;S;N;S
gemini-3.5-flash;gemini-3.5-flash;70388578009;S;N;S
gemini-3.5-flash;gemini-3.5-flash;70388578009;S;S;S
gemini-3.5-flash;gemini-3.5-flash;70388578009;S;S;S
gemini-3.5-flash;gemini-3.5-flash;70388578009;S;N;S
gemini-3.5-flash;gemini-3.5-flash;70388578009;S;N;S
gemini-3.5-flash;gemini-3.5-flash;42014252076;S;N;S
gemini-3.5-flash;gemini-3.5-flash;40591273020;S;S;S
gemini-3.5-flash;gemini-3.5-flash;66710722058;S;N;S
gemini-3.5-flash;gemini-3.5-flash;22526801052;S;N;S
gemini-3.5-flash-lite;gemini-3.5-flash;59126335000;S;S;S
gemini-3.5-flash-lite;gemini-3.5-flash;59126335000;S;N;S
gemini-3.5-flash-lite;gemini-3.5-flash;59126335000;S;N;S
gemini-3.5-flash-lite;gemini-3.5-flash;59126335000;S;N;S
gemini-3.5-flash-lite;gemini-3.5-flash;59126335000;S;N;S
gemini-3.5-flash-lite;gemini-3.5-flash;59126335000;S;N;S
gemini-3.5-flash-lite;gemini-3.5-flash;70388578009;S;N;S
gemini-3.5-flash-lite;gemini-3.5-flash;70388578009;S;N;S
gemini-3.5-flash-lite;gemini-3.5-flash;70388578009;S;N;S
gemini-3.5-flash-lite;gemini-3.5-flash;70388578009;S;N;S
gemini-3.5-flash-lite;gemini-3.5-flash;70388578009;S;N;S
gemini-3.5-flash-lite;gemini-3.5-flash;70388578009;S;N;S
gemini-3.5-flash-lite;gemini-3.5-flash;42014252076;S;N;S
gemini-3.5-flash-lite;gemini-3.5-flash;42014252076;S;N;S
gemini-3.5-flash-lite;gemini-3.5-flash;40591273020;S;S;S
gemini-3.5-flash-lite;gemini-3.5-flash;40591273020;S;N;S
gemini-3.5-flash-lite;gemini-3.5-flash;66710722058;S;N;S
gemini-3.5-flash-lite;gemini-3.5-flash;66710722058;S;N;S
gemini-3.5-flash-lite;gemini-3.5-flash;22526801052;S;N;S
gemini-3.5-flash-lite;gemini-3.5-flash;22526801052;S;N;S
